Nome,Salario_atual,Idade,Salario_anterior
Maria,3743,66,3940
José,3212,56,2301
Antônio,4040,63,4890
João,4601,59,3303
Francisco,2027,62,2930
Ana,3749,51,3422
Luiz,3346,57,2667
Paulo,4852,59,1837
Carlos,2406,54,2785
Manoel,4166,51,4202
Pedro,2555,67,4356
Francisca,1710,57,4902
Marcos,2327,58,2706
Raimundo,1928,70,2211
Sebastião,2700,52,4959
Antônia,3087,50,3546
Marcelo,2390,65,4852
Jorge,4482,65,3870
Márcia,3395,68,2427
Geraldo,2635,67,3666
Adriana,3225,64,3080
Sandra,3690,61,4642
Luis,3169,53,2714
Fernando,3407,53,4173
Fabio,4141,56,4224
Roberto,2779,54,2067
Márcio,1565,69,1864
Edson,4026,54,4306
André,2962,52,3469
Sérgio,1982,60,2037
Josefa,4150,62,4548
Patrícia,4960,58,2432
Daniel,1731,60,2688
Rodrigo,3354,68,3626
Rafael,1995,69,1722
Joaquim,2510,68,4711
Vera,4628,53,2535
Ricardo,3962,53,2060
Eduardo,2309,62,2387
Terezinha,2596,61,3660
Sônia,3884,62,4316
Alexandre,2066,60,4572
Rita,2119,70,2750
Luciana,4363,58,3547
Cláudio,3505,68,3244
Rosa,4991,50,2362
Benedito,1521,51,3952
Leandro,1563,63,1571
Raimunda,4609,51,3559
Mário,4510,54,2365
